id,tema,pregunta,a,b,c,d,correcta,ref
T10-0001,10,¿Tienen las Universidades públicas personalidad jurídica propia según la Ley 39/2015?,"Sí, pero se rigen exclusivamente por esta Ley.","No, dependen del Ministerio de Educación.","Sí, y se regirán por su normativa específica y supletoriamente por las previsiones de esta Ley.","No, se consideran organismos autónomos dependientes.",C,Ley 39/2015 Art. 2
T10-0002,10,¿Cuándo tienen capacidad de obrar ante las Administraciones Públicas los menores de edad?,"Nunca, necesitan representante legal siempre.",Cuando se trate de menores emancipados exclusivamente.,Para el ejercicio y defensa de sus derechos e intereses cuya actuación esté permitida por el ordenamiento sin asistencia de quien ejerza la patria potestad.,Solo a partir de los 16 años para cualquier trámite.,C,Ley 39/2015 Art. 3
T10-0003,10,Si durante la instrucción de un procedimiento se advierte la existencia de personas que sean titulares de derechos legítimos que puedan resultar afectados...,Se archiva el procedimiento hasta que comparezcan.,Se les emplazará para que puedan comparecer en el procedimiento si son identificables.,Se continuará sin ellos si no se personaron al inicio.,Se publicará en el BOE para su conocimiento general.,B,Ley 39/2015 Art. 8
T10-0004,10,"Para los actos de mero trámite, la representación...",Deberá acreditarse mediante cualquier medio válido en Derecho.,Se presumirá aquella.,Debe acreditarse obligatoriamente mediante apoderamiento Apud Acta.,Requiere firma electrónica cualificada del poderdante.,B,Ley 39/2015 Art. 5
T10-0005,10,La falta o insuficiencia de acreditación de la representación...,Impide que se tenga por realizado el acto en todo caso.,No impedirá que se tenga por realizado el acto siempre que se aporte aquélla o se subsane el defecto dentro del plazo de 10 días (o superior).,Da lugar al archivo inmediato de la solicitud.,Convierte al representante en interesado directo.,B,Ley 39/2015 Art. 5
T10-0006,10,Los poderes inscritos en el registro electrónico de apoderamientos tendrán una validez máxima de...,2 años.,"5 años, salvo revocación o prórroga.",10 años.,Indefinida hasta que se revoquen.,B,Ley 39/2015 Art. 6
T10-0007,10,"Para el acceso al registro electrónico de apoderamientos, el apoderamiento podrá otorgarse...",Únicamente de forma electrónica.,"Apud acta de forma presencial o electrónica, o mediante comparecencia personal en el registro.",Solo mediante escritura pública notarial.,Exclusivamente mediante certificado digital cualificado.,B,Ley 39/2015 Art. 6
T10-0008,10,"En caso de pluralidad de interesados, si no hay un representante expresamente designado, ¿con quién se efectuarán las actuaciones?",Con el que figure en primer término en la solicitud.,Con todos ellos individualmente.,Con el que tenga mayor edad.,Con el que elija la Administración aleatoriamente.,A,Ley 39/2015 Art. 7
T10-0009,10,Los sistemas de identificación basados en clave concertada requieren...,Que la Administración verifique la identidad previamente.,Un certificado cualificado de firma electrónica siempre.,Estar inscritos en el Registro Mercantil.,Ser funcionario público.,A,Ley 39/2015 Art. 9
T10-0010,10,¿Es obligatorio utilizar firma electrónica para presentar una solicitud de iniciación de procedimiento?,"No, basta con la identificación simple.","Sí, para formular solicitudes, presentar declaraciones responsables, interponer recursos, desistir o renunciar.",Solo si es una persona jurídica.,Solo si el procedimiento conlleva pago.,B,Ley 39/2015 Art. 11
T10-0011,10,¿Quiénes están OBLIGADOS a relacionarse a través de medios electrónicos con las Administraciones Públicas?,Las personas físicas siempre.,"Las personas jurídicas, entidades sin personalidad jurídica, y quienes ejerzan una actividad profesional que requiera colegiación, entre otros.",Solo las grandes empresas.,Cualquier ciudadano que tenga DNI electrónico.,B,Ley 39/2015 Art. 14
T10-0012,10,"Respecto a los empleados públicos, la obligación de relacionarse electrónicamente...",Es absoluta para todos.,Se determinará reglamentariamente para los trámites y actuaciones que realicen por razón de su condición de empleado público.,Es voluntaria salvo orden superior.,No existe tal obligación.,B,Ley 39/2015 Art. 14
T10-0013,10,"Si un procedimiento se tramita en una Comunidad Autónoma con lengua cooficial, y hay varios interesados discrepantes en la lengua...","Se tramitará en castellano, sin perjuicio de entregar documentos o testimonios en la lengua elegida.",Se tramitará en la lengua cooficial por defecto.,Se tramitará en la lengua que elija la mayoría.,Se suspende hasta que se pongan de acuerdo.,A,Ley 39/2015 Art. 15
T10-0014,10,La traducción de documentos expedidos en lengua cooficial para que surtan efectos fuera de esa Comunidad será necesaria...,Siempre.,Cuando deban surtir efectos en el territorio de una Comunidad Autónoma donde no sea cooficial esa lengua o ante la AGE.,"Nunca, si es dentro de España.",Solo si lo pide el juez.,B,Ley 39/2015 Art. 15
T10-0015,10,¿Qué sucede si se presentan documentos en un registro presencial un día inhábil?,Se rechazan.,Se entenderán presentados en la primera hora del primer día hábil siguiente (salvo norma expresa).,Se consideran presentados ese mismo día.,El registro presencial no admite documentos en días inhábiles.,D,Ley 39/2015 Art. 16
T10-0016,10,"En el Registro Electrónico General, la presentación de documentos un día inhábil se entenderá realizada...",El mismo día.,"En la primera hora del primer día hábil siguiente, salvo que una norma permita expresamente la recepción en día inhábil.",Al día siguiente natural.,El lunes siguiente.,B,Ley 39/2015 Art. 31 (Relacionado con 16)
T10-0017,10,El Archivo Electrónico Único de cada Administración conservará los documentos...,Solo los definitivos.,"Los expedientes que correspondan a procedimientos finalizados, en el formato que garantice su autenticidad.",Todos los borradores y correos internos.,Solo durante 5 años.,B,Ley 39/2015 Art. 17
T10-0018,10,La comparecencia de los ciudadanos ante las oficinas públicas...,Es obligatoria siempre que se cite.,Solo será obligatoria cuando así esté previsto en una norma con rango de ley.,Es obligatoria si lo pide un funcionario.,Es voluntaria en todo caso.,B,Ley 39/2015 Art. 19
T10-0019,10,La Administración está obligada a dictar resolución expresa...,Solo en los procedimientos iniciados de oficio.,"En todos los procedimientos, cualquiera que sea su forma de iniciación.",Solo si el interesado lo solicita.,Salvo en los de terminación convencional.,B,Ley 39/2015 Art. 21
T10-0020,10,¿Cuál es el plazo máximo supletorio para resolver y notificar si la norma reguladora no fija uno específico?,6 meses.,3 meses.,1 mes.,1 año.,B,Ley 39/2015 Art. 21
T10-0021,10,"En los procedimientos iniciados de oficio, el cómputo del plazo para resolver se inicia...",Desde que el órgano competente tenga conocimiento.,Desde la fecha del acuerdo de iniciación.,Desde que se notifica al interesado.,Desde que entra en el registro.,B,Ley 39/2015 Art. 21
T10-0022,10,"En los procedimientos iniciados a solicitud del interesado, el plazo para resolver cuenta desde...",La fecha de la solicitud.,La fecha en que la solicitud haya tenido entrada en el registro electrónico de la Administración u Organismo competente para su tramitación.,La fecha de subsanación.,El día siguiente a la solicitud.,B,Ley 39/2015 Art. 21
T10-0023,10,La suspensión del plazo para resolver es PRECEPTIVA (obligatoria) cuando...,Se deban realizar pruebas técnicas.,Se deba obtener un pronunciamiento previo y preceptivo de un órgano de la Unión Europea.,Se soliciten informes facultativos.,Se inicien negociaciones de un convenio.,B,Ley 39/2015 Art. 22
T10-0024,10,"Si se solicitan informes preceptivos a otro órgano, el plazo para resolver...",No se suspende.,Se suspende por el tiempo que medie entre la petición y la recepción del informe (máximo 3 meses).,Se suspende indefinidamente.,Se amplía por 10 días.,B,Ley 39/2015 Art. 22
T10-0025,10,La ampliación del plazo máximo para resolver y notificar NO podrá ser superior...,A la mitad del plazo establecido.,Al plazo establecido para la tramitación del procedimiento.,A tres meses.,A un mes.,B,Ley 39/2015 Art. 23
T10-0026,10,Contra el acuerdo que resuelva sobre la ampliación de plazos...,Cabe recurso de alzada.,No cabrá recurso alguno.,Cabe recurso de reposición.,Cabe recurso contencioso-administrativo.,B,Ley 39/2015 Art. 23
T10-0027,10,"En los procedimientos iniciados a solicitud del interesado, el silencio administrativo tiene efecto...",Generalmente desestimatorio.,"Generalmente estimatorio (positivo), salvo norma con rango de ley o excepciones (derecho de petición, dominio público, medio ambiente, etc.).",Siempre estimatorio.,Siempre desestimatorio.,B,Ley 39/2015 Art. 24
T10-0028,10,El silencio administrativo en procedimientos de impugnación de actos (recursos) es...,Estimatorio.,"Desestimatorio, salvo que el recurso de alzada se interponga contra la desestimación por silencio de una solicitud (doble silencio).",Siempre positivo.,Nulo.,B,Ley 39/2015 Art. 24
T10-0029,10,El certificado acreditativo del silencio administrativo...,Es necesario solicitarlo siempre.,Debe expedirse de oficio por el órgano competente en el plazo de 15 días desde que expire el plazo para resolver.,Tiene un coste para el ciudadano.,Solo se expide si es silencio negativo.,B,Ley 39/2015 Art. 24
T10-0030,10,"En procedimientos iniciados de oficio sancionadores, el vencimiento del plazo sin resolución produce...",El silencio positivo.,La caducidad del procedimiento.,El silencio negativo.,La prescripción de la infracción.,B,Ley 39/2015 Art. 25
T10-0031,10,"En procedimientos iniciados de oficio favorables (reconocimiento de derechos), el silencio administrativo es...",Positivo.,Desestimatorio.,Caducidad.,Nulo.,B,Ley 39/2015 Art. 25
T10-0032,10,Las copias auténticas de documentos públicos administrativos tienen...,Valor informativo.,La misma validez y eficacia que los documentos originales.,Valor provisional.,Validez solo interna.,B,Ley 39/2015 Art. 27
T10-0033,10,Los interesados tienen derecho a NO aportar documentos que...,Sean originales.,Ya se encuentren en poder de la Administración actuante o hayan sido elaborados por cualquier otra Administración.,Sean copias simples.,Tengan más de 5 años.,B,Ley 39/2015 Art. 28
T10-0034,10,Los términos y plazos establecidos en las leyes obligan...,Solo a los interesados.,A las autoridades y personal de las Administraciones y a los interesados.,Solo a la Administración.,Solo a los funcionarios.,B,Ley 39/2015 Art. 29
T10-0035,10,"Si el plazo se fija en horas, ¿cómo se cuentan?",De momento a momento.,"De hora en hora y minuto en minuto desde la hora en que tenga lugar la notificación o publicación, no pudiendo exceder de 24 horas (hábil).",Desde las 00:00 del día siguiente.,Solo dentro del horario de oficina.,B,Ley 39/2015 Art. 30
T10-0036,10,Los sábados son días...,Hábiles según la Ley 39/2015.,Inhábiles.,Hábiles solo para registros.,Inhábiles solo en agosto.,B,Ley 39/2015 Art. 30
T10-0037,10,"Cuando un plazo se fija en meses, el plazo concluye...",A los 30 días.,"El día que coincida con aquel en que se produjo la notificación; si no lo hubiera en el mes de vencimiento, el último día de dicho mes.",El primer día hábil del mes siguiente.,Siempre el día 1 del mes siguiente.,B,Ley 39/2015 Art. 30
T10-0038,10,"Cuando un día fuese hábil en el municipio del interesado e inhábil en la sede del órgano (o viceversa), se considerará...",Hábil.,Inhábil en todo caso.,Hábil para presentar pero no para resolver.,Depende de la CCAA.,B,Ley 39/2015 Art. 30
T10-0039,10,El Registro Electrónico se regirá por la fecha y hora oficial de...,El domicilio del interesado.,La sede electrónica de acceso.,Madrid siempre.,Bruselas.,B,Ley 39/2015 Art. 31
T10-0040,10,La tramitación de urgencia supone...,Resolver en 10 días.,"Reducir a la mitad los plazos establecidos para el procedimiento ordinario, salvo los de presentación de solicitudes y recursos.",Eliminar la fase de prueba.,Saltarse la audiencia.,B,Ley 39/2015 Art. 33
T10-0041,10,¿Se puede recurrir el acuerdo que declare la tramitación de urgencia?,"Sí, en alzada.",No cabrá recurso alguno.,"Sí, en reposición.","Sí, ante el juez.",B,Ley 39/2015 Art. 33
T10-0042,10,Los actos administrativos que se dicten de forma verbal...,Son nulos.,Se harán constar en el expediente mediante diligencia y firma del titular del órgano.,No tienen validez.,Solo valen para órdenes internas.,B,Ley 39/2015 Art. 36
T10-0043,10,La motivación de los actos administrativos es necesaria para...,Todos los actos.,"Los actos que limiten derechos subjetivos o intereses legítimos, entre otros (art. 35).",Solo las multas.,Solo los actos favorables.,B,Ley 39/2015 Art. 35
T10-0044,10,¿Es necesaria motivación para los actos que se separen del criterio seguido en actuaciones precedentes?,No.,"Sí, con sucinta referencia de hechos y fundamentos de derecho.",Solo si son graves.,Depende del órgano.,B,Ley 39/2015 Art. 35
T10-0045,10,Las resoluciones administrativas de carácter particular...,Pueden vulnerar disposiciones generales.,No podrán vulnerar lo establecido en una disposición de carácter general (inderogabilidad singular).,Prevalecen sobre el reglamento.,Son ley entre partes.,B,Ley 39/2015 Art. 37
T10-0046,10,Los actos de las Administraciones Públicas sujetos al Derecho Administrativo se presumirán...,Nulos hasta prueba en contrario.,"Válidos y producirán efectos desde la fecha en que se dicten, salvo excepción.",Invocables solo tras publicación.,Suspensivos.,B,Ley 39/2015 Art. 39
T10-0047,10,La eficacia de un acto administrativo quedará demorada cuando...,El acto sea favorable.,Así lo exija el contenido del acto o esté supeditada a su notificación/publicación.,El interesado sea extranjero.,El acto sea de trámite.,B,Ley 39/2015 Art. 39
T10-0048,10,La notificación de los actos administrativos deberá cursarse dentro del plazo de...,15 días.,10 días a partir de la fecha en que el acto haya sido dictado.,1 mes.,3 días.,B,Ley 39/2015 Art. 40
T10-0049,10,Las notificaciones que conteniendo el texto íntegro del acto omitiesen algún otro requisito (pie de recursos)...,Son nulas.,Surtirán efecto a partir de la fecha en que el interesado realice actuaciones que supongan el conocimiento del contenido y alcance de la resolución.,No valen nada.,Deben repetirse en 24 horas.,B,Ley 39/2015 Art. 40
T10-0050,10,Las notificaciones se practicarán preferentemente...,Por correo certificado.,"Por medios electrónicos y, en todo caso, cuando el interesado resulte obligado a recibirlas por esta vía.",Presencialmente.,Por edictos.,B,Ley 39/2015 Art. 41
T10-0051,10,"En la práctica de las notificaciones en papel, si el interesado no se encuentra en su domicilio, ¿quién puede hacerse cargo de la misma?",Cualquier vecino mayor de edad.,Cualquier persona mayor de 14 años que se encuentre en el domicilio y haga constar su identidad.,Solo un familiar directo.,"Nadie, debe repetirse el intento.",B,Ley 39/2015 Art. 42
T10-0052,10,"Si nadie puede hacerse cargo de la notificación en papel en el domicilio, ¿cuándo se repetirá el intento?",Al día siguiente.,En una hora distinta dentro de los tres días siguientes.,Pasadas 24 horas y antes de 3 días.,El mismo día por la tarde.,B,Ley 39/2015 Art. 42
T10-0053,10,"En el segundo intento de notificación en papel, si el primero se realizó antes de las 15:00 horas, el segundo deberá realizarse...",Antes de las 15:00 horas del día siguiente.,Después de las 15:00 horas.,En cualquier momento.,En día festivo.,B,Ley 39/2015 Art. 42
