id,tema,pregunta,a,b,c,d,correcta,ref
T07-0001,7,"Según el artículo 1 de la Ley 31/1995, la normativa sobre prevención de riesgos laborales está constituida por esta Ley, sus disposiciones de desarrollo o complementarias y...",Por las normas internacionales ratificadas por España.,"Por cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas.",Por los reglamentos internos de las empresas en materia de seguridad.,Por las directrices técnicas del Instituto Nacional de Seguridad e Higiene en el Trabajo.,B,LPRL Art. 1
T07-0002,7,¿Qué carácter tienen las disposiciones de la Ley 31/1995 según su artículo 2?,De derecho dispositivo para la negociación colectiva.,De Derecho necesario mínimo indisponible.,De recomendaciones técnicas de obligado cumplimiento.,De derecho supletorio a lo dispuesto en los convenios colectivos.,B,LPRL Art. 2
T07-0003,7,¿Cuál de las siguientes actividades está expresamente excluida del ámbito de aplicación de la Ley 31/1995 en su artículo 3?,El trabajo en establecimientos militares abiertos al público.,La relación laboral de carácter especial del servicio del hogar familiar.,El trabajo autónomo con trabajadores a cargo.,El personal civil al servicio de las Administraciones Públicas.,B,LPRL Art. 3
T07-0004,7,"En el ámbito de las funciones públicas de policía, seguridad y resguardo aduanero, la Ley 31/1995...",No se aplicará en ningún caso.,"Se aplicará, pero inspirada en la normativa específica de dichas funciones.",No será de aplicación cuando las particularidades lo impidan en casos de grave riesgo, catástrofe y calamidad pública.,Se aplicará supletoriamente a la normativa militar.,C
T07-0005,7,¿A qué normativa se remite la Ley 31/1995 para la protección de la seguridad y salud en los centros y establecimientos militares?,A la normativa de la Guardia Civil.,A su normativa específica.,A la Ley de la Función Pública.,A la normativa general de la Seguridad Social.,B,LPRL Art. 3
T07-0006,7,"Según el artículo 4, se entenderá por ""prevención"":",El conjunto de actividades o medidas adoptadas o previstas en todas las fases de actividad de la empresa con el fin de evitar o disminuir los riesgos derivados del trabajo.,La posibilidad de que un trabajador sufra un determinado daño derivado del trabajo.,El conjunto de técnicas médicas para evitar enfermedades.,La planificación exclusiva de las medidas de emergencia.,A,LPRL Art. 4
T07-0007,7,"Para calificar un riesgo como ""grave e inminente"", ¿qué requisito debe cumplir el daño referido?",Que sea probable racionalmente que se materialice en un futuro inmediato y pueda suponer un daño grave para la salud.,Que ocurra inevitablemente en las próximas 24 horas.,Que afecte a más del 50% de la plantilla.,Que sea irreversible y mortal.,A,LPRL Art. 4
T07-0008,7,"En la definición de ""riesgo laboral grave e inminente"", ¿cómo se valora la exposición a agentes susceptibles de causar daños graves a la salud?",Se considera inminente si el daño aparece en menos de un mes.,Se podrá considerar riesgo grave e inminente si es probable racionalmente que se materialice en un futuro inmediato una exposición a dichos agentes que pueda causar daños graves.,No se considera riesgo grave e inminente por la latencia de la enfermedad.,Solo se considera si supera los valores límite en un 100%.,B,LPRL Art. 4
T07-0009,7,"Según el artículo 4, ¿qué se considera ""daño derivado del trabajo""?",Solo los accidentes de trabajo.,"Las enfermedades, patologías o lesiones sufridas con motivo u ocasión del trabajo.",Exclusivamente las enfermedades profesionales listadas.,Cualquier enfermedad común agravada por el trabajo.,B,LPRL Art. 4
T07-0010,7,"¿Cuál de los siguientes NO se considera ""condición de trabajo"" según el artículo 4?",Las características generales de los locales.,La situación familiar del trabajador fuera del horario laboral.,La naturaleza de los agentes físicos presentes en el ambiente de trabajo.,Los procedimientos para la utilización de los agentes citados anteriormente.,B,LPRL Art. 4
T07-0011,7,"Se entenderá como ""equipo de trabajo"":",Cualquier herramienta manual utilizada por el trabajador.,"Cualquier máquina, aparato, instrumento o instalación utilizada en el trabajo.",Solo la maquinaria pesada.,Los equipos de protección individual exclusivamente.,B,LPRL Art. 4
T07-0012,7,El coste de las medidas relativas a la seguridad y la salud en el trabajo...,Podrá recaer sobre los trabajadores si así se pacta en convenio.,No deberá recaer en modo alguno sobre los trabajadores.,Se compartirá entre empresa y trabajador al 50%.,Será financiado por la Seguridad Social.,B,LPRL Art. 14
T07-0013,7,¿Qué obligación tiene el empresario respecto a los equipos de protección individual según el artículo 17?,Venderlos a los trabajadores a precio de coste.,Proporcionar a sus trabajadores equipos de protección individual adecuados y velar por el uso efectivo de los mismos.,Recomendar su compra en tiendas homologadas.,Facilitar dinero para su adquisición.,B,LPRL Art. 17
T07-0014,7,"En el marco de sus responsabilidades, el empresario realizará la prevención mediante...",La contratación de un seguro de responsabilidad civil.,La integración de la actividad preventiva en la empresa y la adopción de cuantas medidas sean necesarias.,La delegación total en los trabajadores.,La externalización obligatoria de todo el servicio.,B,LPRL Art. 14
T07-0015,7,¿Cuál es el primer principio de la acción preventiva según el artículo 15?,Evaluar los riesgos.,Evitar los riesgos.,Proteger a los trabajadores.,Formar a los trabajadores.,B,LPRL Art. 15
T07-0016,7,"Dentro de los principios de la acción preventiva, ¿qué se establece respecto a la protección individual?",Que es prioritaria sobre la colectiva.,Que se deben adoptar medidas que antepongan la protección colectiva a la individual.,Que ambas tienen la misma prioridad.,Que la individual es más económica y por tanto preferible.,B,LPRL Art. 15
T07-0017,7,El empresario tomará en consideración las capacidades profesionales de los trabajadores en materia de seguridad y salud al momento de...,Despedirlos.,Encomendarlas las tareas.,Pagarles la nómina.,Negociar el convenio.,B,LPRL Art. 15
T07-0018,7,"Si un trabajador se incorpora a una empresa de trabajo temporal, ¿quién es responsable de su formación en prevención?",El propio trabajador.,El empresario (la empresa usuaria/ETT según corresponda legalmente).,El servicio público de empleo.,El sindicato.,B,LPRL Art. 19
T07-0019,7,La efectividad de las medidas preventivas deberá prever las distracciones o imprudencias no temerarias que pudiera cometer el trabajador. Este es un mandato del...,Artículo 14.,Artículo 29.,Artículo 15 (Principios de la acción preventiva).,Artículo 18.,C,LPRL Art. 15
T07-0020,7,El Plan de prevención de riesgos laborales deberá incluir...,Solo la evaluación de riesgos.,"La estructura organizativa, responsabilidades, funciones, prácticas, procedimientos, procesos y recursos necesarios.",Únicamente las medidas de emergencia.,El presupuesto de la empresa para el año siguiente.,B,LPRL Art. 16
T07-0021,7,La evaluación de los riesgos se realizará...,Solo cuando ocurra un accidente.,Con carácter inicial y se actualizará cuando cambien las condiciones de trabajo.,Anualmente de forma obligatoria aunque nada cambie.,A petición de la Inspección de Trabajo.,B,LPRL Art. 16
T07-0022,7,"Cuando el resultado de la evaluación lo hiciera necesario, el empresario realizará controles periódicos de...",La contabilidad de la empresa.,Las condiciones de trabajo y de la actividad de los trabajadores.,La asistencia de los trabajadores.,La productividad exclusivamente.,B,LPRL Art. 16
T07-0023,7,"Si los resultados de la evaluación ponen de manifiesto situaciones de riesgo, el empresario realizará...",Una nueva evaluación.,Una planificación de la actividad preventiva.,Un despido colectivo.,Una auditoría externa.,B,LPRL Art. 16
T07-0024,7,La formación en materia preventiva según el artículo 19 debe ser...,Opcional para el trabajador.,"Teórica y práctica, suficiente y adecuada.",Solo teórica.,Impartida siempre fuera de la jornada laboral.,B,LPRL Art. 19
T07-0025,7,¿Cuándo debe impartirse la formación preventiva?,Solo al inicio de la relación laboral.,En el momento de la contratación y cuando se produzcan cambios en las funciones o en los equipos.,Solo cuando el trabajador lo solicite.,Anualmente.,B,LPRL Art. 19
T07-0026,7,El coste de la formación preventiva...,Se descuenta de la nómina.,No recaerá en ningún caso sobre los trabajadores.,Lo paga el Estado.,Se comparte.,B,LPRL Art. 19
T07-0027,7,El tiempo dedicado a la formación preventiva se considerará...,Tiempo de descanso.,Tiempo de trabajo efectivo.,Permiso no retribuido.,Horas extraordinarias.,B,LPRL Art. 19
T07-0028,7,El empresario deberá analizar las posibles situaciones de emergencia y adoptar medidas en materia de...,Solo incendios.,"Primeros auxilios, lucha contra incendios y evacuación de los trabajadores.",Seguridad ciudadana.,Control de accesos.,B,LPRL Art. 20
T07-0029,7,Para la aplicación de las medidas de emergencia, el empresario debe...,Hacerlo todo él mismo.,Designar al personal encargado y organizar las relaciones con servicios externos.,Llamar al 112 y esperar.,Esperar a que ocurra la emergencia.,B
T07-0030,7,"Ante un riesgo grave e inminente, el empresario está obligado a...",Ocultarlo para no crear pánico.,Informar lo antes posible a todos los trabajadores afectados y adoptar medidas para la interrupción de la actividad si fuera necesario.,Esperar a que llegue el delegado de prevención.,Pedir permiso a la autoridad laboral para parar.,B,LPRL Art. 21
T07-0031,7,"Si el empresario no adopta medidas ante un riesgo grave e inminente, los representantes legales de los trabajadores podrán acordar...",La huelga indefinida.,La paralización de la actividad de los trabajadores afectados.,La dimisión del empresario.,La denuncia ante la policía.,B,LPRL Art. 21
