id,tema,pregunta,a,b,c,d,correcta,ref
T08-0001,8,"Según el artículo 1 de la Ley Orgánica 3/2007, el objeto de la ley es hacer efectivo el derecho de igualdad de trato y de oportunidades...",Exclusivamente en el ámbito laboral.,Entre mujeres y hombres, en particular mediante la eliminación de la discriminación de la mujer.,Entre ciudadanos nacionales y extranjeros.,En el acceso a la función pública únicamente.,B
T08-0002,8,El ámbito de aplicación de la Ley 3/2007 se extiende a...,Solo a las personas físicas de nacionalidad española.,"Toda persona, física o jurídica, que se encuentre o actúe en territorio español, cualquiera que fuese su nacionalidad, domicilio o residencia.",Solo al sector público.,Solo a las empresas con más de 50 trabajadores.,B,LO 3/2007 Art. 2
T08-0003,8,"El principio de igualdad de trato entre mujeres y hombres supone la ausencia de toda discriminación por razón de sexo, y especialmente las derivadas de...",La edad y la raza.,"La maternidad, la asunción de obligaciones familiares y el estado civil.",El nivel de renta y estudios.,La afiliación política.,B,LO 3/2007 Art. 3
T08-0004,8,"Según el artículo 4, la igualdad de trato y de oportunidades entre mujeres y hombres es un principio...",Rector de la política social.,Informador del ordenamiento jurídico.,Subsidiario de la Constitución.,Organizativo de la Administración.,B,LO 3/2007 Art. 4
T08-0005,8,Se considera discriminación directa por razón de sexo...,Cualquier trato desfavorable relacionado con el embarazo.,"La situación en que se encuentra una persona que sea, haya sido o pudiera ser tratada, en atención a su sexo, de manera menos favorable que otra en situación comparable.",El acoso sexual.,La discriminación inversa.,B,LO 3/2007 Art. 6
T08-0006,8,"La situación en que una disposición, criterio o práctica aparentemente neutros pone a personas de un sexo en desventaja particular con respecto a personas del otro, se denomina...",Discriminación directa.,Discriminación indirecta.,Acoso por razón de sexo.,Acción positiva.,B,LO 3/2007 Art. 6
T08-0007,8,"En el caso de discriminación indirecta, la disposición o práctica no se considerará discriminatoria si...",El empresario no tenía intención de discriminar.,Pieda justificarse objetivamente en atención a una finalidad legítima y los medios para alcanzarla sean necesarios y adecuados.,Afecta a menos del 10% de la plantilla.,Es aprobada por los sindicatos.,B,LO 3/2007 Art. 6
T08-0008,8,El acoso sexual se define como cualquier comportamiento...,Físico o verbal de naturaleza sexual que tenga el propósito o produzca el efecto de atentar contra la dignidad de una persona, en particular creando un entorno intimidatorio, degradante u ofensivo.,Basado en el sexo de una persona que atente contra su dignidad.,Discriminatorio en el salario.,Relacionado con el embarazo.
T08-0009,8,"El comportamiento realizado en función del sexo de una persona, con el propósito o efecto de atentar contra su dignidad y crear un entorno intimidatorio, se considera...",Acoso sexual.,Acoso por razón de sexo.,Discriminación indirecta.,Violencia de género.,B,LO 3/2007 Art. 7
T08-0010,8,El condicionamiento de un derecho o de una expectativa de derecho a la aceptación de una situación constitutiva de acoso sexual o de acoso por razón de sexo se considerará...,Chantaje.,Acto de discriminación por razón de sexo.,Abuso de poder.,Falta leve.,B,LO 3/2007 Art. 7
T08-0011,8,¿Constituye discriminación directa por razón de sexo el trato desfavorable a las mujeres relacionado con el embarazo o la maternidad?,No, es una contingencia común.,"Sí, en todo caso.",Solo si conlleva despido.,Solo si no está justificado.,B
T08-0012,8,La indemnidad frente a represalias (art. 9) prohíbe el trato adverso ante...,Una huelga.,"Una queja, reclamación, denuncia, demanda o recurso destinada a impedir su discriminación y a exigir el cumplimiento efectivo del principio de igualdad.",La solicitud de vacaciones.,La negociación colectiva.,B,LO 3/2007 Art. 9
T08-0013,8,Los actos y cláusulas de los negocios jurídicos que constituyan o causen discriminación por razón de sexo se considerarán...,Anulables.,Nulos y sin efecto.,Válidos si hay acuerdo.,Subsanables.,B,LO 3/2007 Art. 10
T08-0014,8,"Para hacer efectivo el derecho constitucional de igualdad, las personas físicas y jurídicas podrán adoptar medidas específicas a favor de las mujeres para corregir situaciones patentes de desigualdad. Estas medidas se denominan...",Discriminación positiva.,Acciones positivas.,Ventajas sociales.,Ayudas familiares.,B,LO 3/2007 Art. 11
