id,tema,pregunta,a,b,c,d,correcta,ref
T01-0001,1,¿En qué año fue aprobada la Constitución Española actualmente vigente?,1975,1978,1981,1992,B,CE 1978: fecha de aprobación
T01-0002,1,"Según la Constitución, España se constituye en un Estado…",Federal,Social y democrático de Derecho,Confederal,Teocrático,B,CE 1978: Título Preliminar
T01-0003,1,¿Quién es el Jefe del Estado según la Constitución?,El Presidente del Gobierno,El Rey,El Presidente del Congreso,El Presidente del Tribunal Constitucional,B,CE 1978: Corona
T01-0004,1,"La soberanía nacional, según la Constitución, reside en…",El Rey,El Gobierno,El pueblo español,Las Cortes Generales,C,CE 1978: Título Preliminar
T01-0005,1,¿Cuál es la forma política del Estado español?,República presidencialista,Monarquía parlamentaria,Monarquía absoluta,República parlamentaria,B,CE 1978: Corona
T01-0006,1,Las Cortes Generales representan al…,Gobierno,Poder Judicial,Pueblo español,Consejo General del Poder Judicial,C,CE 1978: Cortes Generales
T01-0007,1,¿Qué dos Cámaras integran las Cortes Generales?,Congreso y Consejo de Estado,Senado y Consejo General del Poder Judicial,Congreso de los Diputados y Senado,Congreso y Tribunal Constitucional,C,CE 1978: Cortes Generales
T01-0008,1,La lengua oficial del Estado es…,El gallego,El castellano,El euskera,Todas las lenguas cooficiales,B,CE 1978: Título Preliminar
T01-0009,1,La bandera de España está formada por…,Tres franjas verde-blanco-verde,Dos franjas rojas y una amarilla,Dos franjas amarillas y una roja,Blanco con un escudo central,B,CE 1978: símbolos
T01-0010,1,La capital del Estado es…,Barcelona,Sevilla,Madrid,Valencia,C,CE 1978: organización territorial
T01-0011,1,¿Cuál de los siguientes es un valor superior del ordenamiento jurídico?,La monarquía,La censura previa,La libertad,La pena de muerte,C,CE 1978: valores superiores
T01-0012,1,La Constitución reconoce y garantiza el derecho a la autonomía de…,Las provincias,Las nacionalidades y regiones,Los municipios únicamente,Las comarcas,B,CE 1978: organización territorial
T01-0013,1,El derecho a la vida y a la integridad física y moral se reconoce como…,Un principio rector,Un deber militar,Un derecho fundamental,Un derecho laboral,C,CE 1978: derechos fundamentales
T01-0014,1,"La igualdad ante la ley, sin discriminación, se recoge como…",Derecho social,Derecho fundamental,Principio rector,Competencia autonómica,B,CE 1978: igualdad
T01-0015,1,"La libertad ideológica, religiosa y de culto se reconoce como…",Derecho fundamental,Deber constitucional,Principio económico,Competencia exclusiva del Senado,A,CE 1978: libertades públicas
T01-0016,1,¿Qué prohíbe la Constitución respecto a la pena de muerte?,La permite siempre,La prohíbe en todo caso,La permite para delitos militares en tiempos de guerra (según redacción clásica),La regula por ley orgánica,C,CE 1978: pena de muerte
T01-0017,1,"El derecho al honor, a la intimidad personal y familiar y a la propia imagen es…",Derecho fundamental,Principio rector,Derecho económico,Derecho sindical,A,CE 1978: derechos fundamentales
T01-0018,1,¿Cuál es el órgano que interpreta la Constitución en materia de constitucionalidad?,Tribunal Supremo,Tribunal Constitucional,Consejo de Estado,Audiencia Nacional,B,CE 1978: Tribunal Constitucional
