id,tema,pregunta,a,b,c,d,correcta,ref
1,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 1 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
2,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 2 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
3,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 3 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
4,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 4 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
5,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 5 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
6,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 6 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
7,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 7 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
8,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 8 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
9,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 9 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
10,Tema 4 - Sector público institucional,"Según la Ley 40/2015, ¿qué afirma correctamente la pregunta avanzada 10 sobre el sector público institucional?",Que se rige exclusivamente por derecho privado,Que incluye únicamente organismos autónomos,"Que se somete a principios de legalidad, eficiencia y sostenibilidad financiera",Que queda fuera del control presupuestario,c,"Ley 40/2015, Título II"
