id,tema,pregunta,a,b,c,d,correcta,ref
T03-0001,3,¿Cuál es la superficie aproximada del Parque Tecnolóxico e Loxístico (PTL)?,935.000 m²,1.100.000 m²,990.000 m²,1.265.000 m²,b,ZFV web · Parque Tecnolóxico e Loxístico (PTL)
T03-0002,3,"Según los datos del recinto, ¿cuántas empresas alberga el Parque Tecnolóxico e Loxístico (PTL)?",150,110,135,125,d,ZFV web · Parque Tecnolóxico e Loxístico (PTL)
T03-0003,3,¿Cuántos empleos se asocian al Parque Tecnolóxico e Loxístico (PTL) (orden de magnitud)?,5.250,6.562,6.037,4.462,a,ZFV web · Parque Tecnolóxico e Loxístico (PTL)
T03-0004,3,¿Cuál es la superficie aproximada del Parque empresarial A Granxa?,1.026.463 m²,1.259.751 m²,933.149 m²,1.166.436 m²,c,ZFV web · Parque empresarial A Granxa
T03-0005,3,"Según los datos del recinto, ¿cuántas empresas alberga el Parque empresarial A Granxa?",250,240,225,265,b,ZFV web · Parque empresarial A Granxa
T03-0006,3,¿Cuántos empleos se asocian al Parque empresarial A Granxa (orden de magnitud)?,5.625,7.500,9.375,10.125,b,ZFV web · Parque empresarial A Granxa
T03-0007,3,¿Cuál es la superficie aproximada del Parque empresarial Porto do Molle?,1.028.780 m²,771.585 m²,925.902 m²,1.388.853 m²,a,ZFV web · Parque empresarial Porto do Molle
T03-0008,3,"Según los datos del recinto, ¿cuántas empresas alberga el Parque empresarial Porto do Molle?",175,160,185,200,a,ZFV web · Parque empresarial Porto do Molle
T03-0009,3,¿Cuántos empleos se asocian al Parque empresarial Porto do Molle (orden de magnitud)?,4.080,3.600,4.320,4.800,d,ZFV web · Parque empresarial Porto do Molle
T03-0010,3,¿Cuál es la superficie aproximada del Parque empresarial de Bouzas?,160.000 m²,200.000 m²,136.000 m²,144.000 m²,a,ZFV web · Parque empresarial de Bouzas
T03-0011,3,¿Cuál es la superficie aproximada del Polígono Industrial Balaídos?,1.000.000 m²,1.150.000 m²,1.350.000 m²,1.100.000 m²,a,ZFV web · Polígono Industrial Balaídos
T03-0012,3,"Según los datos del recinto, ¿cuántas empresas alberga el Polígono Industrial Balaídos?",17,7,32,Ninguna de las anteriores,b,ZFV web · Polígono Industrial Balaídos
T03-0013,3,¿Cuántos empleos se asocian al Polígono Industrial Balaídos (orden de magnitud)?,18.630,20.700,15.525,25.875,b,ZFV web · Polígono Industrial Balaídos
T03-0014,3,"En la ampliación del PTL, ¿qué superficie se indica para la ampliación del polígono industrial?",226.800 m²,340.200 m²,315.000 m²,252.000 m²,d,ZFV web · PTL
T03-0015,3,"En el PTL, ¿qué superficie neta se reserva para usos comerciales y de ocio en la ampliación?",175.950 m²,153.000 m²,191.250 m²,206.550 m²,b,ZFV web · PTL
T03-0016,3,"En la ampliación del PTL, ¿qué superficie se indica para zonas verdes?",53.460 m²,65.610 m²,48.600 m²,36.450 m²,c,ZFV web · PTL
T03-0017,3,"En la ampliación del PTL, ¿qué superficie se destina a viales y aparcamientos?",67.500 m²,55.000 m²,50.000 m²,37.500 m²,c,ZFV web · PTL
T03-0018,3,¿Cuál es la distancia aproximada desde el PTL al centro de Vigo indicada en la ficha?,12 km,"7,5 km",5 km,20 km,b,ZFV web · PTL
T03-0019,3,"En Porto do Molle, ¿cuántas naves bioclimáticas se mencionan como parte de la oferta industrial?",20,50,30,40,d,ZFV web · Porto do Molle
T03-0020,3,"En Porto do Molle, ¿qué capacidad de aparcamiento se menciona en el parque empresarial?",400 plazas,200 plazas,300 plazas,600 plazas,a,ZFV web · Porto do Molle
T03-0021,3,Porto do Molle se describe con una extensión aproximada de:,75 ha,102 ha,120 ha,90 ha,b,ZFV web · Porto do Molle
T03-0022,3,"En el recinto de Bouzas, ¿qué superficie se indica para la explanada logística?",75.000 m²,90.000 m²,114.999 m²,100.000 m²,d,ZFV web · Bouzas
T03-0023,3,"En el recinto de Bouzas, ¿qué superficie se indica para la nave n.º 1?",5.948 m²,4.655 m²,4.397 m²,5.173 m²,d,ZFV web · Bouzas
T03-0024,3,"En el recinto de Bouzas, ¿qué superficie se indica para la nave n.º 2?",12.741 m²,11.466 m²,17.200 m²,10.829 m²,a,ZFV web · Bouzas
T03-0025,3,"En el recinto de Bouzas, ¿qué superficie se indica para la nave n.º 3?",7.829 m²,9.609 m²,8.185 m²,7.118 m²,d,ZFV web · Bouzas
T03-0026,3,"En el recinto de Bouzas, ¿qué superficie se indica para el edificio de la Zona de Exposición?",800 m²,1.000 m²,680 m²,880 m²,a,ZFV web · Bouzas
T03-0027,3,"En el recinto de Bouzas, ¿qué superficie se indica para el Aula de Educación Vial?",75 m²,67 m²,56 m²,86 m²,a,ZFV web · Bouzas
T03-0028,3,"En el recinto de Bouzas, ¿qué superficie se indica para el edificio de Cafetería?",314 m²,328 m²,286 m²,214 m²,c,ZFV web · Bouzas
T03-0029,3,"En el recinto de Bouzas, ¿qué superficie se indica para una de las torres de oficinas?",958 m²,1.053 m²,862 m²,1.197 m²,a,ZFV web · Bouzas
